"Procode","SpellStart","n"
"R1F",2020-07-06,74
"R1F",2020-07-07,106
"R1F",2020-07-08,106
"R1F",2020-07-09,97
"R1F",2020-07-10,112
"R1F",2020-07-11,38
"R1F",2020-07-12,41
"R1F",2020-07-13,100
"R1F",2020-07-14,109
"R1F",2020-07-15,108
"R1F",2020-07-16,91
"R1F",2020-07-17,107
"R1F",2020-07-18,56
"R1F",2020-07-19,36
"R1F",2020-07-20,89
"R1F",2020-07-21,92
"R1F",2020-07-22,107
"R1F",2020-07-23,110
"R1F",2020-07-24,123
"R1F",2020-07-25,46
"R1F",2020-07-26,34
"R1F",2020-07-27,85
"R1F",2020-07-28,106
"R1F",2020-07-29,97
"R1F",2020-07-30,105
"R1F",2020-07-31,96
"R1F",2020-08-01,37
"R1F",2020-08-02,39
"R1F",2020-08-03,110
"R1F",2020-08-04,112
"R1F",2020-08-05,111
"R1F",2020-08-06,97
"R1F",2020-08-07,123
"R1F",2020-08-08,48
"R1F",2020-08-09,45
"R1F",2020-08-10,89
"R1F",2020-08-11,91
"R1F",2020-08-12,100
"R1F",2020-08-13,115
"R1F",2020-08-14,93
"R1F",2020-08-15,41
"R1F",2020-08-16,40
"R1F",2020-08-17,95
"R1F",2020-08-18,99
"R1F",2020-08-19,120
"R1F",2020-08-20,103
"R1F",2020-08-21,115
"R1F",2020-08-22,42
"R1F",2020-08-23,29
"R1F",2020-08-24,79
"R1F",2020-08-25,98
"R1F",2020-08-26,108
"R1F",2020-08-27,89
"R1F",2020-08-28,115
"R1F",2020-08-29,38
"R1F",2020-08-30,32
"R1F",2020-08-31,44
"R1F",2020-09-01,113
"R1F",2020-09-02,100
"R1F",2020-09-03,93
"R1F",2020-09-04,116
"R1F",2020-09-05,47
"R1F",2020-09-06,45
"R1F",2020-09-07,100
"R1F",2020-09-08,112
"R1F",2020-09-09,115
"R1F",2020-09-10,99
"R1F",2020-09-11,109
"R1F",2020-09-12,59
"R1F",2020-09-13,38
"R1F",2020-09-14,106
"R1F",2020-09-15,108
"R1F",2020-09-16,123
"R1F",2020-09-17,95
"R1F",2020-09-18,112
"R1F",2020-09-19,55
"R1F",2020-09-20,39
"R1F",2020-09-21,109
"R1F",2020-09-22,123
"R1F",2020-09-23,96
"R1F",2020-09-24,123
"R1F",2020-09-25,119
"R1F",2020-09-26,74
"R1F",2020-09-27,45
"R1F",2020-09-28,105
"R1F",2020-09-29,126
"R1F",2020-09-30,122
"R1F",2020-10-01,94
"R1F",2020-10-02,118
"R1F",2020-10-03,61
"R1F",2020-10-04,43
"R1F",2020-10-05,122
"R1F",2020-10-06,117
"R1F",2020-10-07,114
"R1F",2020-10-08,121
"R1F",2020-10-09,106
"R1F",2020-10-10,60
"R1F",2020-10-11,30
"R1F",2020-10-12,112
"R1F",2020-10-13,111
"R1F",2020-10-14,123
"R1F",2020-10-15,114
"R1F",2020-10-16,98
"R1F",2020-10-17,66
"R1F",2020-10-18,34
"R1F",2020-10-19,100
"R1F",2020-10-20,107
"R1F",2020-10-21,115
"R1F",2020-10-22,113
"R1F",2020-10-23,108
"R1F",2020-10-24,65
"R1F",2020-10-25,29
"R1F",2020-10-26,94
"R1F",2020-10-27,110
"R1F",2020-10-28,101
"R1F",2020-10-29,109
"R1F",2020-10-30,106
"R1F",2020-10-31,61
"R1F",2020-11-01,56
"R1F",2020-11-02,109
"R1F",2020-11-03,121
"R1F",2020-11-04,100
"R1F",2020-11-05,125
"R1F",2020-11-06,95
"R1F",2020-11-07,71
"R1F",2020-11-08,29
"R1F",2020-11-09,104
"R1F",2020-11-10,111
"R1F",2020-11-11,119
"R1F",2020-11-12,114
"R1F",2020-11-13,100
"R1F",2020-11-14,72
"R1F",2020-11-15,50
"R1F",2020-11-16,111
"R1F",2020-11-17,123
"R1F",2020-11-18,121
"R1F",2020-11-19,98
"R1F",2020-11-20,109
"R1F",2020-11-21,76
"R1F",2020-11-22,30
"R1F",2020-11-23,84
"R1F",2020-11-24,73
"R1F",2020-11-25,63
"R1F",2020-11-26,108
"R1F",2020-11-27,115
"R1F",2020-11-28,79
"R1F",2020-11-29,49
"R1F",2020-11-30,111
"R1F",2020-12-01,125
"R1F",2020-12-02,122
"R1F",2020-12-03,109
"R1F",2020-12-04,107
"R1F",2020-12-05,68
"R1F",2020-12-06,39
"R1F",2020-12-07,126
"R1F",2020-12-08,128
"R1F",2020-12-09,110
"R1F",2020-12-10,113
"R1F",2020-12-11,124
"R1F",2020-12-12,96
"R1F",2020-12-13,48
"R1F",2020-12-14,107
"R1F",2020-12-15,130
"R1F",2020-12-16,118
"R1F",2020-12-17,130
"R1F",2020-12-18,127
"R1F",2020-12-19,72
"R1F",2020-12-20,38
"R1F",2020-12-21,126
"R1F",2020-12-22,130
"R1F",2020-12-23,101
"R1F",2020-12-24,97
"R1F",2020-12-25,42
"R1F",2020-12-26,40
"R1F",2020-12-27,47
"R1F",2020-12-28,54
"R1F",2020-12-29,104
"R1F",2020-12-30,117
"R1F",2020-12-31,106
"R1F",2021-01-01,44
"R1F",2021-01-02,42
"R1F",2021-01-03,44
"R1F",2021-01-04,81
"R1F",2021-01-05,96
"R1F",2021-01-06,89
"R1F",2021-01-07,89
"R1F",2021-01-08,84
"R1F",2021-01-09,38
"R1F",2021-01-10,39
"R1F",2021-01-11,91
"R1F",2021-01-12,91
"R1F",2021-01-13,83
"R1F",2021-01-14,82
"R1F",2021-01-15,90
"R1F",2021-01-16,43
"R1F",2021-01-17,56
"R1F",2021-01-18,95
"R1F",2021-01-19,86
"R1F",2021-01-20,95
"R1F",2021-01-21,90
"R1F",2021-01-22,93
"R1F",2021-01-23,45
"R1F",2021-01-24,40
"R1F",2021-01-25,84
"R1F",2021-01-26,89
"R1F",2021-01-27,97
"R1F",2021-01-28,101
"R1F",2021-01-29,94
"R1F",2021-01-30,33
"R1F",2021-01-31,26
"R1F",2021-02-01,103
"R1F",2021-02-02,101
"R1F",2021-02-03,101
"R1F",2021-02-04,99
"R1F",2021-02-05,111
"R1F",2021-02-06,39
"R1F",2021-02-07,24
"R1F",2021-02-08,96
"R1F",2021-02-09,112
"R1F",2021-02-10,97
"R1F",2021-02-11,80
"R1F",2021-02-12,85
"R1F",2021-02-13,63
"R1F",2021-02-14,36
"R1F",2021-02-15,112
"R1F",2021-02-16,123
"R1F",2021-02-17,80
"R1H",2020-06-11,636
"R1H",2020-06-12,665
"R1H",2020-06-13,359
"R1H",2020-06-14,306
"R1H",2020-06-15,645
"R1H",2020-06-16,703
"R1H",2020-06-17,638
"R1H",2020-06-18,663
"R1H",2020-06-19,680
"R1H",2020-06-20,336
"R1H",2020-06-21,262
"R1H",2020-06-22,626
"R1H",2020-06-23,679
"R1H",2020-06-24,672
"R1H",2020-06-25,711
"R1H",2020-06-26,728
"R1H",2020-06-27,374
"R1H",2020-06-28,287
"R1H",2020-06-29,675
"R1H",2020-06-30,748
"R1H",2020-07-01,683
"R1H",2020-07-02,715
"R1H",2020-07-03,706
"R1H",2020-07-04,388
"R1H",2020-07-05,303
"R1H",2020-07-06,727
"R1H",2020-07-07,692
"R1H",2020-07-08,705
"R1H",2020-07-09,738
"R1H",2020-07-10,694
"R1H",2020-07-11,368
"R1H",2020-07-12,328
"R1H",2020-07-13,781
"R1H",2020-07-14,741
"R1H",2020-07-15,786
"R1H",2020-07-16,772
"R1H",2020-07-17,816
"R1H",2020-07-18,407
"R1H",2020-07-19,352
"R1H",2020-07-20,799
"R1H",2020-07-21,769
"R1H",2020-07-22,758
"R1H",2020-07-23,753
"R1H",2020-07-24,787
"R1H",2020-07-25,384
"R1H",2020-07-26,336
"R1H",2020-07-27,758
"R1H",2020-07-28,743
"R1H",2020-07-29,768
"R1H",2020-07-30,749
"R1H",2020-07-31,696
"R1H",2020-08-01,401
"R1H",2020-08-02,357
"R1H",2020-08-03,766
"R1H",2020-08-04,762
"R1H",2020-08-05,757
"R1H",2020-08-06,792
"R1H",2020-08-07,764
"R1H",2020-08-08,424
"R1H",2020-08-09,366
"R1H",2020-08-10,787
"R1H",2020-08-11,780
"R1H",2020-08-12,804
"R1H",2020-08-13,827
"R1H",2020-08-14,781
"R1H",2020-08-15,392
"R1H",2020-08-16,330
"R1H",2020-08-17,747
"R1H",2020-08-18,829
"R1H",2020-08-19,812
"R1H",2020-08-20,796
"R1H",2020-08-21,777
"R1H",2020-08-22,451
"R1H",2020-08-23,327
"R1H",2020-08-24,792
"R1H",2020-08-25,777
"R1H",2020-08-26,758
"R1H",2020-08-27,831
"R1H",2020-08-28,789
"R1H",2020-08-29,430
"R1H",2020-08-30,334
"R1H",2020-08-31,365
"R1H",2020-09-01,797
"R1H",2020-09-02,810
"R1H",2020-09-03,848
"R1H",2020-09-04,839
"R1H",2020-09-05,510
"R1H",2020-09-06,387
"R1H",2020-09-07,850
"R1H",2020-09-08,866
"R1H",2020-09-09,831
"R1H",2020-09-10,790
"R1H",2020-09-11,878
"R1H",2020-09-12,493
"R1H",2020-09-13,400
"R1H",2020-09-14,868
"R1H",2020-09-15,859
"R1H",2020-09-16,874
"R1H",2020-09-17,913
"R1H",2020-09-18,794
"R1H",2020-09-19,446
"R1H",2020-09-20,391
"R1H",2020-09-21,909
"R1H",2020-09-22,903
"R1H",2020-09-23,892
"R1H",2020-09-24,850
"R1H",2020-09-25,805
"R1H",2020-09-26,453
"R1H",2020-09-27,329
"R1H",2020-09-28,837
"R1H",2020-09-29,834
"R1H",2020-09-30,808
"R1H",2020-10-01,817
"R1H",2020-10-02,803
"R1H",2020-10-03,453
"R1H",2020-10-04,382
"R1H",2020-10-05,838
"R1H",2020-10-06,880
"R1H",2020-10-07,857
"R1H",2020-10-08,832
"R1H",2020-10-09,856
"R1H",2020-10-10,456
"R1H",2020-10-11,340
"R1H",2020-10-12,864
"R1H",2020-10-13,886
"R1H",2020-10-14,838
"R1H",2020-10-15,909
"R1H",2020-10-16,774
"R1H",2020-10-17,517
"R1H",2020-10-18,391
"R1H",2020-10-19,882
"R1H",2020-10-20,892
"R1H",2020-10-21,861
"R1H",2020-10-22,914
"R1H",2020-10-23,868
"R1H",2020-10-24,506
"R1H",2020-10-25,416
"R1H",2020-10-26,804
"R1H",2020-10-27,845
"R1H",2020-10-28,831
"R1H",2020-10-29,805
"R1H",2020-10-30,862
"R1H",2020-10-31,459
"R1H",2020-11-01,366
"R1H",2020-11-02,858
"R1H",2020-11-03,911
"R1H",2020-11-04,858
"R1H",2020-11-05,814
"R1H",2020-11-06,847
"R1H",2020-11-07,522
"R1H",2020-11-08,386
"R1H",2020-11-09,892
"R1H",2020-11-10,841
"R1H",2020-11-11,835
"R1H",2020-11-12,871
"R1H",2020-11-13,883
"R1H",2020-11-14,446
"R1H",2020-11-15,336
"R1H",2020-11-16,872
"R1H",2020-11-17,864
"R1H",2020-11-18,896
"R1H",2020-11-19,868
"R1H",2020-11-20,839
"R1H",2020-11-21,501
"R1H",2020-11-22,391
"R1H",2020-11-23,873
"R1H",2020-11-24,875
"R1H",2020-11-25,884
"R1H",2020-11-26,862
"R1H",2020-11-27,889
"R1H",2020-11-28,487
"R1H",2020-11-29,358
"R1H",2020-11-30,816
"R1H",2020-12-01,938
"R1H",2020-12-02,831
"R1H",2020-12-03,865
"R1H",2020-12-04,880
"R1H",2020-12-05,482
"R1H",2020-12-06,328
"R1H",2020-12-07,829
"R1H",2020-12-08,922
"R1H",2020-12-09,770
"R1H",2020-12-10,864
"R1H",2020-12-11,869
"R1H",2020-12-12,474
"R1H",2020-12-13,394
"R1H",2020-12-14,787
"R1H",2020-12-15,862
"R1H",2020-12-16,828
"R1H",2020-12-17,792
"R1H",2020-12-18,816
"R1H",2020-12-19,444
"R1H",2020-12-20,397
"R1H",2020-12-21,673
"R1H",2020-12-22,722
"R1H",2020-12-23,649
"R1H",2020-12-24,563
"R1H",2020-12-25,266
"R1H",2020-12-26,266
"R1H",2020-12-27,295
"R1H",2020-12-28,436
"R1H",2020-12-29,650
"R1H",2020-12-30,641
"R1H",2020-12-31,547
"R1H",2021-01-01,330
"R1H",2021-01-02,378
"R1H",2021-01-03,306
"R1H",2021-01-04,578
"R1H",2021-01-05,583
"R1H",2021-01-06,630
"R1H",2021-01-07,589
"R1H",2021-01-08,637
"R1H",2021-01-09,380
"R1H",2021-01-10,317
"R1H",2021-01-11,597
"R1H",2021-01-12,635
"R1H",2021-01-13,652
"R1H",2021-01-14,608
"R1H",2021-01-15,585
"R1H",2021-01-16,351
